Player,PA,H,2B,3B,HR,BA,SO,BB,OPS,OPS+
Aaron Judge,2537,683,110,3,210,0.311,636,456,1.117,209
Shohei Ohtani,2723,680,119,30,187,0.292,653,353,0.996,174
